Date,Rack 1,Rack 2,Rack 3
29-Apr,19.02083333,22.13716814,18.34375
30-Apr,19.03611111,20.77986111,18.40694444
1-May,19.06805556,21.875,18.38958333
2-May,19.02013889,23.99166667,18.28819444
3-May,18.98611111,24.22083333,18.39236111
4-May,18.94930556,24.11875,18.34444444
5-May,18.95625,24.55416667,18.32986111
6-May,18.96041667,24.27361111,18.41736111
7-May,19.00347222,23.45902778,18.39513889
8-May,18.99444444,23.44375,19.99375
9-May,18.95833333,23.35,22.72361111
10-May,18.96068966,23.25416667,23.08541667
11-May,18.95555556,23.31041667,23.10413793
12-May,18.92361111,23.47847222,23.22361111
13-May,18.98541667,23.72222222,23.39444444
14-May,18.99861111,23.30416667,22.16805556
15-May,18.78402778,22.79861111,19.65763889
16-May,19.07083333,22.74652778,20.91736111
17-May,18.94027778,22.53129252,22.11527778
18-May,18.44861111,22.58194444,22.84722222
19-May,18.25347222,22.53888889,22.84791667
20-May,18.25833333,22.66736111,22.85902778
21-May,18.27013889,22.67361111,22.84444444
22-May,18.21875,19.21736111,20.50413793
23-May,18.24027778,17.33194444,21.90486111
24-May,18.36111111,,22.8777027
25-May,18.38263889,,22.87
26-May,18.37222222,,22.87569444
27-May,18.37569444,,22.88819444
28-May,18.24236111,,22.85208333
29-May,18.15486111,,22.86458333
30-May,18.05972222,,22.86319444
31-May,18.04097222,,22.8375
1-Jun,18.08333333,,22.82638889
2-Jun,18.13680556,,22.81666667
3-Jun,18.11597222,,22.78263889
4-Jun,18.11805556,,22.75277778
5-Jun,18.27708333,,22.76388889
6-Jun,18.12361111,,22.75793103
7-Jun,17.96875,,22.75347222
8-Jun,17.90972222,,22.75277778
9-Jun,17.92638889,,22.75138889
10-Jun,17.90625,,22.74861111
11-Jun,17.95902778,,22.75763889
12-Jun,18.02013889,,22.75972222
13-Jun,17.98680556,,22.75172414
14-Jun,18.10833333,,22.75277778
15-Jun,18.04166667,,22.75347222
16-Jun,18.04305556,,22.76319444
17-Jun,18.06527778,,22.79305556
18-Jun,18.07083333,,22.78482759
19-Jun,18.10972222,,22.77083333
20-Jun,18.11388889,,22.77569444
21-Jun,18.11319444,,22.78402778
22-Jun,17.66666667,,22.78402778
23-Jun,17.45138889,,22.76805556
24-Jun,18.53472222,,22.78055556
25-Jun,18.5625,,22.79097222
26-Jun,18.60486111,,22.78680556
27-Jun,18.58333333,,22.79444444
28-Jun,18.45138889,,22.78194444
29-Jun,18.31597222,,22.79097222
30-Jun,18.46041667,,22.78194444
1-Jul,18.48888889,,22.79305556
2-Jul,18.47916667,,22.78333333
3-Jul,18.53958333,,22.78819444
4-Jul,18.5,,22.80069444
5-Jul,18.55724138,,22.79791667
6-Jul,18.48680556,,22.79027778
7-Jul,18.59166667,,22.8
8-Jul,18.6625,,22.80555556
9-Jul,18.78680556,,22.82361111
10-Jul,18.88819444,,22.80625
11-Jul,18.71862069,,22.81180556
12-Jul,18.32708333,,22.79722222
13-Jul,18.37430556,,22.81666667
14-Jul,18.39375,,22.82152778
15-Jul,18.32152778,,22.81805556
16-Jul,18.46597222,,22.83402778
17-Jul,18.56597222,,22.83888889
18-Jul,18.6,,22.82430556
19-Jul,18.64305556,,22.82013889
20-Jul,18.62847222,,22.825
21-Jul,18.63402778,,21.97291667
22-Jul,18.57986111,,21.37013889
23-Jul,18.36041667,,22.84583333
24-Jul,18.52361111,,22.85069444
25-Jul,18.07430556,,22.83819444
26-Jul,18.14583333,,22.85208333
27-Jul,18.61319444,,22.84791667
28-Jul,18.45902778,,22.83333333
29-Jul,18.32777778,,22.83958333
30-Jul,18.32430556,,22.84027778
31-Jul,18.30972222,,22.85069444
1-Aug,18.26041667,,22.85277778
2-Aug,18.26232877,,22.84722222
3-Aug,18.31041667,,22.87013889
4-Aug,18.35138889,,22.75555556
5-Aug,18.42152778,,22.81666667
6-Aug,18.41875,,22.82777778
7-Aug,18.42569444,,22.82430556
8-Aug,18.425,,22.82222222
9-Aug,18.01944444,,22.85833333
10-Aug,17.80972222,,22.82847222
11-Aug,18.39930556,,22.83472222
12-Aug,18.37430556,,22.825
13-Aug,18.40555556,,22.83402778
14-Aug,18.45208333,,22.84166667
15-Aug,18.55625,,22.83310345
16-Aug,18.50486111,,22.83402778
17-Aug,18.45486111,,22.83472222
18-Aug,18.47430556,,22.80763889
19-Aug,18.44444444,,22.84236111
20-Aug,18.44513889,,22.82986111
21-Aug,18.44513889,,22.84275862
22-Aug,18.43493151,,22.83125
23-Aug,18.51944444,,22.83263889
24-Aug,18.44930556,,22.83611111
25-Aug,18.79583333,,22.8875
26-Aug,19.06736111,,22.86083916
27-Aug,19.29722222,,22.83958333
28-Aug,19.50555556,,23.12758621
29-Aug,19.21712329,,23.12916667
30-Aug,18.52986111,,22.825
31-Aug,18.53472222,,22.84583333
1-Sep,18.61468531,,22.84861111
2-Sep,18.56783217,,22.86013986
3-Sep,18.53802817,,22.83239437
4-Sep,18.4472973,,22.77364865
5-Sep,18.53680556,,23.04791667
6-Sep,18.53611111,,23.07847222
7-Sep,18.55277778,,23.09097222
8-Sep,18.51388889,,23.11666667
9-Sep,18.52013889,,23.12916667
10-Sep,18.52708333,,23.17708333
11-Sep,18.58,,23.13793103
12-Sep,18.46875,,23.14444444
13-Sep,18.49930556,,23.14166667
14-Sep,18.44067797,,
